"der Abstellraum, Pl. Abstellräume","sklad, komora"
"das Altpapier, -e","stary papier"
"an","pri, k"
"ansehen sich; sich die Nachrichten ansehen","pozriet si; pozriet' si spravy"
"das Arbeitszimmer,-","pracovna"
"auf","na"
"aufräumen","upratovat"
"das Aufräumen, O","upratovanie"
"der Ausflug, Pl. Ausflüge","vylet"
"der Autoabstellplatz, Pl. Autoabstellplätze","parkovacie miesto"
"das Badezimmer,-","kúpelna"
"der Bahnhof, Pl. Bahnhöfe (am Bahnhof)","stanica (na stanici)"
"beginnen","zacat"
"beide","obidvaja"
"das Bett, -en","postel"
"der Bildschirm, -e","monitor"
"bleiben","zostat"
"die Blume, -n","kvet"
"der Boden, Pl. Böden","podlaha"
"der Computer, -","pocitac"
"der Couchtisch, -e","konferenny stolik"
"der Dachboden, PI. Dachböden","povala"
"dazu","k tomu"
"dekorieren","zdobit"
"den ganzen Tag","cely den"
"das Ding, -e","vec"
"der Drucker, -","tlaciaren"
"duschen","sprchovat' sa"
"die Ecke, -n","roh"
"ein bisschen","trocha"
"einkaufen","nakupovat"
"das Erdgeschoss,-e","prízemie"
"Es gibt + akuzativ (4. pád)...; Napr. Es gibt dort einen Tisch, eine Lampe, ein Buch","Je tam... (Napr. Je tam stôl, lampa, kniha)"
"essen","jest"
"der Esstisch, -e","jedálensky stôl"
"das Esszimmer,","jedálen"
"der Fernseher, -","televízor"
"fertig","hotovy"
"der Flur, -e","chodba"
"freuen - sich freuen (ich freue mich, du freust dich)","tesit sa"
"frisch","cerstvy"
"die Früh, in der Früh","rano"
"früher","minulosti"
"das Frühstück, O","ranajky"
"die Garderobe, -n","satnik"
"der Garten, Pl. Gärten","záhrada"
"das Gästezimmer,","hostovská izba"
"gestern","vcera"
"das Haus, Pl. Häuser","dom"
"das Haustier, -e","domáce zviera"
"hängen","visiet"
"helfen","pomôct"
"herrschen","vládnut"
"heute","dnes"
"hinstellen (ich stelle hin, du stellst hin)","postavit"
"hinter","za"
"der Hund, -e","pes"
"die Hundehütte, -n","búda pre psa"
"der Hunger, O","hlad"
"in","v, do"
"sich interessieren für etw.","zaujímat sa o nieco"
"die Katze, -n","macka"
"der Keller,","pivnica"
"das Kissen,","vankús"
"kochen","varit"
"kommen","prist, pochádzat"
"die Kopfschmerzen (PL.)","bolesti hlavy"
"die Küche, -n","kuchyna"
"legen","polozit"
"lesen (ich lese, du liest)","citat"
"liegen","lezat"
"der Mantel, Pl. Mäntel","kabat"
"mögen (ich mag, du magst)","mat rad"
"müde","unaveny"
"nach oben","hore"
"die Nachrichten (PL.)","správy"
"neben","vedla"
"nervös","nervózny"
"nett","mily"
"ordentlich","upratany"
"der Ordner, -","zakladac"
"putzen","upratovat, cistit"
"reden über + 4. pad","hovorit o niecom"
"das Regal, -e","polica/regál"
"riesig","obrovsky"
"rund","okolo"
"sehen (ich sehe, du siehst)","vidiet"
"sehr","velmi"
"das Schlafzimmer,-","spálña"
"sitzen","sediet"
"das Sofa, -s","sedacka"
"der Spaß, Pl. Späße","zábava"
"die Speisekammer, -n","spajza"
"der Spiegel, -","zrkadlo"
"die Spielsachen (PL.)","hracka"
"der Stadtrand, O","okraj mesta"
"staubig","prasno"
"stehen","stat"
"stellen","postavit"
"der Stock (Wir wohnen im 3. Stock.)","poschodie (Byvame na 3. poschodí.)"
"das Stockwerk, -e","poschodie"
"stören","vyrusovat"
"der Stuhl, PI. Stühle","stolicka"
"die Tastatur,-en","klávesnica"
"die Terrasse, -n","terasa"
"der Tisch, -e","stôl"
"die Toilette, -n","toaleta"
"trinken","pit"
"tun (ich tue, du tust, er/sie/es tut)","robit"
"über","nad"
"die Unordnung, O","neporiadok"
"unter","pod"
"sich unterhalten mit jm./über etw.","bavit' sa s niekym/o niecom"
"Sophie unterhält sich mit Milan über die Arbeit.","Sophie sa bavi s Milanom o práci."
"die Unterlagen (PL.)","podklady"
"die Vase, -n","váza"
"verschieden","rozlicny"
"viel zu tun haben (Ich habe viel zu tun.)","mat vela roboty (Mám vela roboty.)"
"der Vogel, Pl. Vögel","vták"
"vor","pred"
"der Vorgarten, Pl. Vorgärten","predzahrádka"
"der Vorraum, Pl. Vorräume","predsien"
"die Wand, Pl. Wände","stena"
"das Haus, Pl. Häuser","dom"
"die Wohnung, -en","byt"
"das Dach, Pl. Dächer","strecha"
"die Mauer, -n","múr"
"das Fenster,","okno"
"die Haustür, -en","vstupné dvere"
"das Einfamilienhaus, Pl. -häuser","rodinny dom"
"die Garage, -n","garáz"
"das Stockwerk, -e","poschodie"
"Das Bad ist im ersten Stock.","Kúpelña je na prvom poschodí."
"das Erdgeschoss, -e","prizemie"
"Das Esszimmer ist im Erdgeschoss.","Jedálen je na prízemí."
"der Dachboden, Pl. -böden","podkrovie"
"waren (minuly cas od slovesa sein)","boli (minuly cas od slovesa byt)"
"das WC, -s","WC"
"weglaufen (ich laufe weg, du läufst weg, er/sie/es läuft weg)","utiect"
"weil","pretoze"
"wenn","ked"
"das Wetter, O","pocasie"
"das Wohngebiet, -e","obytná zóna"
"das Wohnzimmer,-","obyvacka"
"zeigen","ukazovat"
"die Zeitung, -en","noviny"
"ziemlich","dost"
"zuerst","najprv"
"zufrieden","spokojny"
"die Zugfahrt, -en","cesta vlakom"
"zwischen","medzi"
"der Briefkasten, Pl. -kästen","postová schránka"
"die Terrasse, -n","terasa"
"der Balkon, -e","balkón"
"der Keller, -","pivnica"
"das Zimmer,","izba"
"der Garten, Pl. Gärten","záhrada"
"der Eingang, Pl. Eingänge","vchod"
"die Treppe, -n","schodisko"
"die Türklingel, -n","zvoncek"
"die Fußmatte, -n","rohozka"
"das Schloss, Pl. Schlösser","zámok"
"der Schlüssel,","klüc"
"der Lift, -e","vytah"
"der Vorraum, Pl. Vorräume","predsien"
"das Wohnzimmer, -","obyvacka"
"das Schlafzimmer,","spálña"
"das Badezimmer,","kúpelña"
"das Kinderzimmer,-","detska izba"
"das Gästezimmer,","hostovská izba"
"das Arbeitszimmer,","pracovna"
"die Speisekammer,-n","Spajza"
"das WC, -s / das Klo, -s","záchod"
"die Heizung, -en","kúrenie"
"die Glühbirne, -n","ziarovka"
"die Steckdose, -n","zásuvka"
"der Schalter, -","vypínad"
"der Staubsauger,","vysávac"
"der Besen,","metla"
"der Eimer, - (Ö: der Kübel, - )","vedro"
